"Dia";"Asignatura";"Tipo";"HoraInicio";"HoraFinal";"Aula";"Grupo";"Semestre";"Titulacion";"Comentarios"
"Lunes";"Actuadores";"Teoría y Problemas";"16:00";"19:00";"Mstr4";"56AE";2;"56AE";""
"Lunes";"Microcontroladores y Lógica Programable";"Teoría y Problemas";"16:00";"21:00";"Mstr4";"56AE";2;"56AE";""
"Lunes";"Sistemas Mecatrónicos";"Teoría y Problemas";"16:00";"21:00";"Mstr4";"56AE";2;"56AE";""
"Martes";"Computadores y Programación";"Teoría y Problemas";"16:00";"19:00";"Mstr4";"56AE";2;"56AE";""
"Martes";"Robótica";"Teoría y Problemas";"16:00";"19:00";"Mstr4";"56AE";2;"56AE";""
"Martes";"Microcontroladores y Lógica Programable";"Teoría y Problemas";"19:00";"21:00";"Mstr4";"56AE";2;"56AE";""
"Miércoles";"Idioma Profesional";"Teoría y Problemas";"16:00";"17:30";"Mstr4";"56AE";2;"56AE";""
"Miércoles";"Idioma Profesional";"Teoría y Problemas";"16:00";"17:30";"Mstr4";"56AE";2;"56AE";""
"Miércoles";"Gestión de la Innovación en la Industria Eléctrica y Electromecánica";"Teoría y Problemas";"17:30";"19:00";"Mstr4";"56AE";2;"56AE";""
"Miércoles";"Gestión de la Innovación en la Industria Eléctrica y Electromecánica";"Teoría y Problemas";"17:30";"19:00";"Mstr4";"56AE";2;"56AE";""
"Miércoles";"Impactos y Gestión Ambiental";"Teoría y Problemas";"19:00";"20:30";"Mstr4";"56AE";2;"56AE";""
"Miércoles";"Impactos y Gestión Ambiental";"Teoría y Problemas";"19:00";"20:30";"Mstr4";"56AE";2;"56AE";""
"Jueves";"CAD-CAM-CAE";"Teoría y Problemas";"16:00";"19:00";"Mstr4";"56AE";2;"56AE";""
